movie_id,movie_name,year,runtime,genre,rating,description,director,star
tt11191124,Primal: Tales of Savagery,2019,85 min,"Animation, Action, Adventure",8.4,"GENNDY TARTAKOVSKY'S PRIMAL - TALES OF SAVAGERY features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.",Genndy Tartakovsky,"Aaron LaPlante, 
Jon Olson"
tt7941892,Attack on Titan: The Roar of Awakening,2018,120 min,"Animation, Action, Fantasy",8.4,"Eren Yeager and others of the 104th Training Corps have just become full members of the Survey Corps. As they ready themselves to face the Titans once again, their preparations are interrupted by the invasion of Wall Rose.",Masashi Koizuka,"Yûki Kaji, 
Yui Ishikawa, 
Marina Inoue, 
Hiro Shimono"
tt0312859,Kannathil Muthamittal,2002,136 min,"Action, Drama, War",8.4,"A little girl is told by her parents that she is adopted. Determined to find her real mother, she begs to be taken to Sri Lanka, where her mother works with a militant group of activists.",Mani Ratnam,"Keerthana Parthiepan, 
Simran, 
Madhavan, 
Nandita Das"
tt0172776,Mars na Drinu,1964,107 min,"Action, Drama, History",8.4,"One Serbian army battery in the First World War, in forced march with no stopping and rest, arrives to Cer Mountain, and, in decisive moment, enters the fight and throws off Austrian troops...                See full summary »",Zivorad 'Zika' Mitrovic,"Aleksandar Gavric, 
Ljuba Tadic, 
Nikola Jovanovic, 
Vladimir Popovic"
tt5875460,How I Got There,2022,135 min,"Action, Thriller",8.4,"Two best friends from childhood stumble on a shipment of guns, they seize a once in a lifetime opportunity to get rich quick. Way over their heads, their wild ride takes a dangerous turn ...                See full summary »",Zeyad Alhusaini,"Ron Perlman, 
Hamad Al Omani, 
Yaqoob Abdullah, 
Jaaved Jaaferi"
tt21979270,Ninja in the Mafia's Shadow,2023,,"Action, Adventure, Crime",8.4,A ninja who works his day job as a pizza delivery guy is on a mission to stop the mafia from shutting down the pizzeria.,James Sheridan,"William Rayne, 
Holly Anspaugh, 
Jason Page, 
Jacob Pettyjohn"
tt1603362,Prasthanam,2010,153 min,"Action, Drama",8.4,A politician's hot-blooded son starts to rebel uncontrollably when his intelligent stepbrother is chosen as the heir to the throne.,Deva Katta,"Sharwanand, 
Sai Kumar, 
Sundeep Kishan, 
Ruby Parihar"
tt4987556,Thani Oruvan,2015,160 min,"Action, Crime, Thriller",8.4,"Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him.",Mohan Raja,"Jayam Ravi, 
Arvind Swami, 
Nayanthara, 
Nassar"
tt0211289,Cariño Brutal,1998,104 min,"Action, Drama",8.4,Add a Plot,Romy Suzara,"Rosanna Roces, 
Daisy Reyes, 
Jorge Estregan, 
Richard Quan"
tt0364647,Virumandi,2004,175 min,"Action, Drama, Thriller",8.4,A temperamental farmer gets embroiled in a bloody clan feud in a southern Tamil Nadu village.,Kamal Haasan,"Kamal Haasan, 
Abhirami, 
Pasupathy, 
Napolean"
tt5482644,Out of the Fight,2020,108 min,"Action, Drama, War",8.4,Out of the Fight is a feature film dealing with a hardened US Army Soldier fighting the demons of Post Traumatic Stress Disorder (PTSD).,Steve Moon,"Judy Norton, 
Randy Wayne, 
Robert Miano, 
Michael Aaron Milligan"
tt0250461,Karnan,1964,187 min,"Action, Drama, History",8.4,Story of the central hero of Mahabharata who rises from nothing to becoming the world's greatest warrior ever born in history and emerges as the hero of the Kurukshetra war.,B. Ramakrishnaiah Panthulu,"Shivaji Ganesan, 
N.T. Rama Rao, 
S.A. Ashokan, 
R. Muthuraman"
tt8009306,Chalthe Chalthe,2018,135 min,"Action, Comedy, Drama",8.4,Chalte Chalte movie is a romantic action entertainer directed and music scored by Pradeep KK and while Srinivasa Rao Potluri produced this movie. Vishwadev .,K. Pradeep Kumar,"Priyanka Jain, 
Rajshri Nair, 
V.K. Naresh, 
Pragathi"
tt0290937,Yoddha,1992,149 min,"Action, Comedy",8.4,"Fate brings a young man from rural Kerala to be the protector of a young Lama in Nepal, who is being chased by a dangerous cult.",Sangeeth Sivan,"Mohanlal, 
Siddharth Lama, 
Madhoo, 
Jagathy Sreekumar"
tt11038702,Dandam,2019,150 min,Action,8.4,"Story of Yallappa, who is a collector, is supporting suppressed Indian citizens and fight against the ministry with proper law and order. The natives also support him to bring this change.",V. Sattu,"Sangram Chougule, 
Ripunjay Lashkare, 
Mayur Raut, 
Aboli Jadhav"
tt0220656,Mudhalvan,1999,169 min,"Action, Drama, Thriller",8.4,"A man accepts a challenge to act as the Chief Minister of Tamil Nadu for one day only, and makes such a success of it that soon he is embroiled in political intrigue.",S. Shankar,"Arjun Sarja, 
Manisha Koirala, 
Raghuvaran, 
Vadivelu"
