movie_id,movie_name,year,runtime,genre,rating,description,director,star
tt1595021,The Sweetest Heir,2018,107 min,"Adventure, Comedy, Family",8.8,"The Sweetest Heir is an award-winning family comedy about a young girl, Brittany Thompson, who collects and restores old jewelry boxes. While restoring one, she discovers a seal and a deed ...                See full summary »",Zelie Dember-Slack,"Kimberly Allen, 
Joe Alvarez, 
Jessica Anthony, 
Joey Bachrach"
tt2033214,Blood Jungle ...or Eviva il Coltello!,2011,93 min,"Adventure, Comedy, Fantasy",8.8,A bit of godless jungle exploration and deadpan homo-eroticism explode deep in the tropics with Thomas Nola's fourth full length film 'Blood Jungle' ...or 'Eviva il Coltello!' Stars Jim ...                See full summary »,Thomas Nöla,"Jim Ether, 
Thomas Nöla, 
Dave DiLillo, 
David Ewing"
tt6380508,Civilization: The Movie,2016,60 min,"Adventure, Comedy",8.8,Five friends decide to play a game of Civilization VI because they thought being world leaders couldn't be that hard but soon find out just what they have undertaken and find out just how ...                See full summary »,"Bruce Greene, 
Adam Kovic, 
Lawrence Sonntag, 
Elyse Willems",
tt12381540,Yorinuki Gintama-san on Theater 2D: Kabuki Chou Shitennou Hen,2012,,"Action, Adventure, Comedy",8.8,"In another time and place, the Yorozuya squad is suddenly greeted by a potential new recruit. Before them is a mysterious young woman named Pirako Doromizu who hides a penchant for extreme ...                See full summary »",Yoichi Fujita,"Rie Kugimiya, 
Daisuke Sakaguchi, 
Tomokazu Sugita"
tt1147538,Exodos,2007,96 min,"Action, Adventure, Crime",8.8,"Three different stories of three different people are combined together through various events becoming one... Robert works as a bodyguard for one of the biggest mafia bosses of Nicosia, ...                See full summary »",George Voulgaris,"Maria Karasoulla, 
Sofoklis Kaskaounias, 
Koulis Nikolaou, 
George Georgiou"
tt4126936,Dark Sky Blue,2015,63 min,"Action, Adventure, Drama",8.8,The hunt for a murderer takes one man through the depths of his city's underground.,Chris X,"Anna Lee Anderson, 
Larry Biela, 
Harold Dennis, 
Xerxes Flores"
tt1593747,Montagna con Forza,2002,57 min,"Adventure, Drama, Fantasy",8.8,Montagna con Forza (English: Mountains with Power) is the first production in the trademarked genre Symbiophonies - invented by director and composer Flint Juventino Beppe. It is a unique ...                See full summary »,Flint Juventino Beppe,
tt0194724,Dzma,1981,80 min,"Adventure, History",8.8,Add a Plot,Temur Babluani,"Archil Samkharadze, 
Levan Turmanidze, 
Otar Megvinetukhutsesi, 
Shota Nozadze"
tt1616510,Go West Happy Cow,2010,87 min,"Action, Adventure, Comedy",8.8,"The ultimate road trip from Wisconsin to California hauling the highly sought after HAPPY COW products. Mike and Kurt, the Happy Cow, rumble through 2,200+ miles of countryside sharing their love with displaced Sconnies. Hilarity ensues.",Tyler Knowles,"Kurt Jensen, 
Mike Tiboris, 
Joe Thompson, 
Troy Vosseller"
tt0075794,Caballo prieto afamado,1977,85 min,"Adventure, Comedy, Drama",8.8,"Un melodrama ambientado en una zona rural que nos muestra a través de su más afamado y de majestuosa belleza equina, todas las aventuras en el marco de música, jinetes y carreras.",Gilberto Martínez Solares,"Ruben Benavides, 
Eleazar García, 
Sol Marroquin, 
Juan Miranda"
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,124 min,"Action, Adventure, Fantasy",8.7,"After the Rebels are overpowered by the Empire, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Irvin Kershner,"Mark Hamill, 
Harrison Ford, 
Carrie Fisher, 
Billy Dee Williams"
tt14290314,Simon Daniel,2022,122 min,"Adventure, Drama, Mystery",8.7,"When Simon Daniel, a wandering Archaeologist, learns that his friend, Santhosh, has disappeared while looking for a lost treasure in an mysterious estate, embarks on a journey to find him and complete the mission.",Sajan Antony,"Divya Pillai, 
Vijeesh, 
Vineeth Kumar, 
Sunil Sukhada"
tt0063023,Goopy Gyne Bagha Byne,1969,132 min,"Adventure, Comedy, Family",8.7,"Goopy wants to sing, and Bagha wants to play the dhol. They meet accidentally and are helped by King of Ghosts. With newly endowed abilities, they land in kingdom of Shundi, where their adventure begins.",Satyajit Ray,"Tapan Chatterjee, 
Rabi Ghosh, 
Ajoy Banerjee, 
Iva Banerjee"
tt11159908,Junoon,2021,95 min,"Adventure, Horror, Thriller",8.7,"A wannabe vlogger travels from Saudi Arabia with his wife and best friend all the way to Southern California, wishing for some great paranormal footage. When their wish comes true, will they know when to turn the cameras off and flee?","Maan B., 
Yaser B.","Saleh Alem, 
Ida Alkusay, 
Maan B., 
Khairia Nazmi"
tt2958784,Ván bài lat ngua: Tap 1 - Dua con nuoi vi giám muc,1982,85 min,Adventure,8.7,Add a Plot,Lê Hoàng Hoa,"Binh Chi Lam, 
Chanh Tin Nguyen, 
Thuy An Nguyen, 
Hong Thu"
tt8238544,Glanni Glæpur Í Latabæ,1999,95 min,Adventure,8.7,"In this play, Sportacus has managed to change the villagers' negative attitude towards sports, healthy food and all diligence. But when he leaves and the villagers have to manage on their ...                See full summary »",Sigurður Sigurjónsson,"Vigdís Gunnarsdóttir, 
Kjartan Guðjónsson, 
Rúnar Freyr Gíslason, 
Gunnar Hansson"
tt2604160,Broken Chains,2017,,"Action, Adventure, Biography",8.7,Brianna married a man she thought would protect her forever. But soon discovers Vincenzo has a dark secret and an evil family with connections controlling his narcissistic sociopathic traits and will go to any lengths to keep the secret controlled and hidden.,Shannon Brown,"Denise Reed, 
Shannon Brown, 
Mark Vincent, 
Michael Elian"
tt5515396,The Law of Moises,2019,70 min,"Adventure, Drama, Thriller",8.7,"Moises, a talented young filmmaker, discovers that his true destiny is to save the town that he desires so much to escape. The question Moises longs to receive clarity on is- Do we choose our dreams, or do our dreams choose us?",Crystal Barnes,"Yeniffer Behrens, 
Billy Dec, 
Thea Camara, 
Nic Caruccio"
tt1226736,Alexander Jamieson,2017,135 min,"Adventure, Drama",8.7,Against the odds of survival WW1 flyer's in the Lafayette Esquadrille risk everything for honor and conquest. The adventurers momentum does not end when the ravages of war and lost friends ...                See full summary »,Brad Batchelor,"Baharum Abdu, 
David Abrams, 
Mohd Hamdan Ali, 
Edward Austin"
tt8927780,A Family of Killers,2018,101 min,"Action, Adventure, Comedy",8.7,"An ex-detective, a deadly child, two dim-witted hit-men, and a captive all cross paths with one mysterious assassin corporation.",Nicolas James,"Pam Kvale, 
Trevor James, 
Pierce Kvale, 
Alex James"
tt15218070,Bitter Rain,2021,,Adventure,8.7,"Written by Hannah Nwasor, 'Bitter Rain' tells the story of a group of individuals from the city; a journalist seeking to find the truth and an adventure-seeking who converge on a mystical ...                See full summary »",Toka McBaror,"George Nanakwesi Chux, 
Alexx Ekubo, 
Mike Ezuruonye, 
Efe Irele"
tt1967632,Vacation Hunter,2013,93 min,"Adventure, Drama, Thriller",8.7,The film center's around the trials and tribulations of two back-packing friends as they take a unwilling journey down the rivers and into the heart and history of the industrial revolution...                See full summary »,Daz Spencer-Lovesey,"Michelle Crane, 
Andy Done Johnson, 
Simon Lee Phillips, 
Annabel Pidduck"
tt2395476,Malagasy Mankany,2012,93 min,"Adventure, Comedy, Drama",8.7,"Malagasy Mankany is a colorful and entertaining dramedy-adventure set in Madagascar about three sociology students named Jimi, Bob and Dylan. When Jimi's father becomes suddenly ill and ...                See full summary »",Haminiaina Ratovoarivony,"Mahon Andoniaina, 
Ben Elissar, 
Hamy Ratovo, 
Valeska Sanjy"
tt11106626,Captain Callum Explores the Universe,2021,53 min,Adventure,8.7,"After being sent to an entirely different dimension, Captain Callum is forced to work with others to save the universe and get back to his own dimension before it's too late.",Callum Davies,"Callum Davies, 
Kallum Gordon, 
Jay Davies"
tt4171716,Bicycle Dreams,2014,70 min,"Adventure, Family",8.7,"Bicycle Dreams follows two boys as they come of age in the ancient city of Kathmandu. Like kids the world over, they are pursuing a dream :an electric blue, 18 gear mountain bike. The boys ...                See full summary »",Raju Gurung,
tt2285431,"Cold, I Am: Ballad of the Bark Eater",2012,90 min,"Adventure, Drama, History",8.7,"A young Mountain Man is pulled into the dark of the wilderness by a pair of bolstering, menacing self appointed lawmen of the Adirondack Mountains in the 1830s.","Jim Powers, 
Steve Powers","Steve Powers, 
David Bunce, 
Keith Mueller, 
Eric Oakes"
tt2321576,Fatal Mission,1990,90 min,"Action, Adventure",8.7,Add a Plot,Tonie van der Merwe,"Michael Baker, 
Simon Bleakley, 
Wally Booysen, 
Graham Clarke"
tt7257986,Battle of the Monster Trucks,2008,46 min,Adventure,8.7,"First of the 3 original, world famous Monster Truck shows to ever appear on National Television and home video. A favorite of fans young and old, see history making firsts with side-by-side...                See full summary »",Jan C. Gabriel,
tt0265495,Papam Pasivaadu,1972,135 min,"Adventure, Drama, Thriller",8.7,Add a Plot,V. Ramachandra Rao,"S.V. Ranga Rao, 
Devika, 
Kaikala Satyanarayana, 
Suryakantham"
tt1907686,Heroes Crossing,2010,110 min,Adventure,8.7,"Lara, a being of incredible power, documents the history of the classic comic book super heroes. She reveals who won in battles voted by the public using internet and hard copy research spanning more than a decade.",Adom Carter,"Sophie Callea, 
Marc Chavet, 
Shaun Connell, 
Cheryl Douglas"
tt0816692,Interstellar,2014,169 min,"Adventure, Drama, Sci-Fi",8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,"Matthew McConaughey, 
Anne Hathaway, 
Jessica Chastain, 
Mackenzie Foy"
tt0076759,Star Wars,1977,121 min,"Action, Adventure, Fantasy",8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,"Mark Hamill, 
Harrison Ford, 
Carrie Fisher, 
Alec Guinness"
tt0245429,Spirited Away,2001,125 min,"Animation, Adventure, Family",8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Hayao Miyazaki,"Daveigh Chase, 
Suzanne Pleshette, 
Miyu Irino, 
Rumi Hiiragi"
tt0367495,Anbe Sivam,2003,160 min,"Adventure, Comedy, Drama",8.6,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate.",Sundar C.,"Kamal Haasan, 
Madhavan, 
Kiran Rathod, 
Nassar"
