movie_id,movie_name,year,runtime,genre,rating,description,director
tt4548650,Evil Bread,2013,97 min,"Comedy, Horror",8.8,"Life is simple for Andy and Dave. They spend much of their lives watching horror films, and when their college media course demands that they actually contribute, they create horror films. ...                See full summary »",Andy Ward
tt3129450,Walking Shadows,2002,,"Drama, Horror, Thriller",8.8,"As a college sophomore's academic life devolves into substance abuse and depression, he fears that his friends are being stalked by a killer whose existence he can't discern from hallucinations.",Jack Bennett
tt5313222,It Is Really Over,2016,,"Drama, Horror",8.8,"Celebrating her newly being single, Daisy's friends have a drinking bender. While drunk, they call and torment Daisy's ex... which could have dire consequences.",Larry Rosen
tt0445940,Catering,2005,,"Comedy, Horror",8.8,Add a Plot,Gregor Buchkremer
tt25872924,Waktu Maghrib,2023,104 min,"Horror, Thriller",8.7,In a village there is a girl who says goodbye to the mosque to pray maghrib to her father.,Sidharta Tata
tt15341964,Camera Error,2022,,Horror,8.7,Who knows about live murder? Will there be a camera malfunction or camera error?,Agaran
tt23860842,Evil,2022,,Horror,8.7,"Film starts with anbu, he dreams a bad visual which he gets regularly in his dreams, so to understand about the nightmare he plans a trip with his Girlfriend Pavithra and along with roommate Harish to visit a haunted Church.",Jagan Aloysius
tt13757636,Alanngut Killinganni,2022,,"Horror, Thriller",8.7,Add a Plot,Malik Kleist
tt17282434,Phas Gaye Yaaro,2022,,"Comedy, Horror",8.7,based on the fictional horror story about a witch who roams around a jungle resort and abducts every men at night when they are alone outside the resort and only leaves their underwear behind causing many disappearances over the months.,Yusuf Surti
tt4953676,Garrow,2018,,"Drama, Horror",8.7,"Robert Francis Garrow was a serial rapist and murderer whose reign of terror paralyzed the North Country between the years of 1960 and 1978. Born in Mineville, New York in 1936, Robert's ...                See full summary »",Lori Kelly
tt11159908,Junoon,2021,95 min,"Adventure, Horror, Thriller",8.7,"A wannabe vlogger travels from Saudi Arabia with his wife and best friend all the way to Southern California, wishing for some great paranormal footage. When their wish comes true, will they know when to turn the cameras off and flee?","Maan B., 
Yaser B."
